growth_transitions,location,year,diseases,scenario,both,disability,mortality
FALSE,Global,2044,Adult (early),25% reduction,98.04782352264786,78.29605146582412,19.542466854154586
FALSE,Global,2045,Adult (early),25% reduction,99.3951441917429,78.65061938714219,20.524613080623627
FALSE,Global,2046,Adult (early),25% reduction,100.72466121932698,78.99107752248287,21.503062327816963
FALSE,Global,2047,Adult (early),25% reduction,102.03883829594517,79.32014701228142,22.47756354980564
FALSE,Global,2048,Adult (early),25% reduction,103.33165567079544,79.63238453953552,23.44756249544525
FALSE,Global,2049,Adult (early),25% reduction,104.61098211066627,79.93561841431618,24.413104331281662
FALSE,Global,2050,Adult (early),25% reduction,105.86924117622375,80.22263100466252,25.373832365546228
FALSE,Global,2051,Adult (early),25% reduction,107.10840580038166,80.49517206107711,26.32997696011543
FALSE,Global,2052,Adult (early),25% reduction,108.32954537193488,80.75417343048096,27.281682334806444
FALSE,Global,2053,Adult (early),25% reduction,109.5303088649168,80.99736389961052,28.228883643886565
FALSE,Global,2054,Adult (early),25% reduction,110.71360365062523,81.22765180463219,29.171574984445574
FALSE,Global,2055,Adult (early),25% reduction,111.87493041849326,81.44079098330974,30.10951382403183
FALSE,Global,2056,Adult (early),25% reduction,113.01713117496968,81.63913485884095,31.043188018949508
FALSE,Global,2057,Adult (early),25% reduction,114.14125235265637,81.8236081070776,31.972720195043564
FALSE,Global,2058,Adult (early),25% reduction,115.24631141632366,81.99328543613339,32.89806180803203
FALSE,Global,2059,Adult (early),25% reduction,116.33466147934055,82.15071369628811,33.8190051037426
FALSE,Global,2060,Adult (early),25% reduction,117.40242824030972,82.2926157687006,34.734963384916306
FALSE,Global,2061,Adult (early),25% reduction,118.45118083203792,82.42072733800984,35.64576823837185
FALSE,Global,2062,Adult (early),25% reduction,119.48088771299076,82.53542587871456,36.5510109809885
FALSE,Global,2063,Adult (early),25% reduction,120.49289832080555,82.63830046457959,37.4504509150362
FALSE,Global,2064,Adult (early),25% reduction,121.48632480424595,82.72927355499363,38.34326741336059
FALSE,Global,2065,Adult (early),25% reduction,122.45955318773079,82.807640366786,39.22855885355377
FALSE,Global,2066,Adult (early),25% reduction,123.4137911322155,82.87505613742734,40.105874880241394
FALSE,Global,2067,Adult (early),25% reduction,124.34791379021358,82.93089357696248,40.974722900359154
FALSE,Global,2068,Adult (early),25% reduction,125.26399778005695,82.9777829495449,41.83454077656269
FALSE,Global,2069,Adult (early),25% reduction,126.1559631634636,83.01038422788906,42.684602281703945
FALSE,Global,2070,Adult (early),25% reduction,127.02560418297767,83.03144808154964,43.523957680698395
FALSE,Global,2071,Adult (early),25% reduction,127.8737486254444,83.04206637347316,44.352342014348984
FALSE,Global,2072,Adult (early),25% reduction,128.69998288305092,83.04211106473065,45.16947256035328
FALSE,Global,2073,Adult (early),25% reduction,129.5066929226141,83.03407265685654,45.97523495872402
